,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
137,Sid Meier’s Civilization® VI, 1 GB & AMD 5570 or nVidia 450 or Intel Integrated Graphics 530, 4 GB RAM,1, Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greater, 17 GB available space,289070,"₩ 102,510",Firaxis Games,2K,Strategy,"20 Oct, 2016","['Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer', 'Grand Strategy', 'Turn-Based', '4X', 'War', 'Simulation', 'City Builder', 'Tactical', 'Management', 'Building', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Co-op', 'Hex Grid', 'Atmospheric']",Very Positive,242183,9,10,1
138,Phasmophobia, NVIDIA GTX 970 / AMD Radeon R9 390, 8 GB RAM, Windows 10 64Bit, Intel Core i5-4590 / AMD Ryzen 5 2600, 21 GB available space,739630,"₩ 21,500",Kinetic Games,Kinetic Games,Action,"18 Sep, 2020","['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Demons', 'Detective', 'Mystery', 'Thriller', '3D', 'Early Access', 'Indie', 'Action', 'Tactical', 'Singleplayer']",Very Positive,589952,10,10,1
139,Mount & Blade II: Bannerlord, Intel® UHD Graphics 630 / NVIDIA® GeForce® GTX 660 2GB / AMD Radeon™ HD 7850 2GB, 6 GB RAM,1, Intel® Core™ i3-8100 / AMD Ryzen™ 3 1200, 60 GB available space,261550,"₩ 12,960",TaleWorlds Entertainment,TaleWorlds Entertainment,Action,"25 Oct, 2022","['Medieval', 'Strategy', 'Open World', 'RPG', 'War', 'Sandbox', 'Multiplayer', 'Singleplayer', 'Action', 'Character Customization', 'Simulation', 'Moddable', 'Adventure', 'Horses', 'Realistic', 'Third Person', 'Historical', 'First-Person', 'Great Soundtrack', 'Early Access']",Very Positive,197120,9,10,1
140,Cities: Skylines II, Nvidia® GeForce™ GTX 970 (4 GB)  | AMD® Radeon™ RX 480 (8 GB), 8 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i7-6700K | AMD® Ryzen™ 5 2600X, 60 GB available space,949230,"₩ 99,000",Colossal Order Ltd.,Paradox Interactive,Simulation,"24 Oct, 2023","['City Builder', 'Simulation', 'Building', 'Singleplayer', 'Sandbox', 'Management', 'Economy', 'Strategy', 'Realistic', 'Moddable', 'Resource Management', 'Relaxing', 'Transportation', 'Casual', 'Multiplayer', 'Atmospheric', 'Early Access', 'Open World', 'Great Soundtrack', 'Mod']",N/A,44611,6,10,1
141,Conqueror's Blade, Nvidia Geforce GTX 1050Ti, 8 GB RAM,1, Intel I5-6400, 60 GB available space,835570,Free To Play,Booming Tech,Poros Interactive,Action,"5 Apr, 2020","['PvP', 'Medieval', 'Massively Multiplayer', 'Action', 'Strategy', 'MMORPG', 'Free to Play', 'Sandbox', 'Character Customization', 'Alternate History', 'War', 'Wargame', 'Open World', 'RPG', 'Swordplay', 'Tactical', 'RTS', 'Third Person', 'Team-Based', 'Action RPG']",Mostly Positive,32049,6,10,1
142,DARK SOULS™: REMASTERED," GeForce GTX 460, 1 GB / Radeon HD 6870, 1 GB", 6 GB RAM,1," Intel Core i5-2300 2.8 GHz / AMD FX-6300, 3.5 GHz", 8 GB available space,570940,"₩ 43,800",QLOC,"FromSoftware, Inc.",Action,"23 May, 2018","['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Dark', 'Fantasy', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Lore-Rich', 'Adventure', 'Multiplayer', 'Story Rich', 'Exploration', 'Third Person', 'Replay Value', 'Character Customization', 'Soundtrack', 'Co-op']",Very Positive,74950,9,10,1
143,A Little to the Left, Direct X 11.0 compatible video card, 2 GB RAM,1, 1.8 GHz or faster processor, 1250 MB available space,1629520,"₩ 13,280",Max Inferno,Secret Mode,Casual,"8 Nov, 2022","['Puzzle', 'Relaxing', 'Wholesome', 'Casual', 'Cute', 'Cozy', 'Logic', 'Colorful', 'Cats', '2D', 'Funny', 'Singleplayer', 'Indie', 'Hand-drawn', 'Hidden Object', 'Linear', 'Family Friendly', 'Pixel Graphics', 'Point & Click', 'Multiplayer']",Very Positive,10216,9,10,1
144,Raft, GeForce GTX 700 series or similar, 6 GB RAM,1, Intel Core i5 2.6GHz or similar, 10 GB available space,648800,"₩ 21,000",Redbeet Interactive,Axolot Games,Adventure,"20 Jun, 2022","['Survival', 'Multiplayer', 'Open World Survival Craft', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base Building', 'Online Co-Op', 'Adventure', 'Sandbox', 'First-Person', 'Singleplayer', 'Underwater', 'Early Access', 'Simulation', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer']",Very Positive,279481,9,10,1
145,NARAKA: BLADEPOINT," NVIDIA GeForce GTX 750TI, Intel Arc A380, AMD HD 6950 or equivalent", 8 GB RAM,1, Intel i5 4th generation or AMD FX 6300 or equivalent, 50 GB available space,1203220,Free To Play,24 Entertainment,NetEase Games Global,Action,"11 Aug, 2021","['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Character Customization', 'Massively Multiplayer', 'Fighting', 'Survival', 'Third Person', 'Swordplay', 'Mature', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Free to Play', 'Violent', 'Gore']",Mostly Positive,263681,7,10,1
146,GUILTY GEAR -STRIVE-," Radeon HD 6870, 1 GB / GeForce GTX 650 Ti, 1 GB", 4 GB RAM,1," AMD FX-4350, 4.2 GHz / Intel Core i5-3450, 3.10 GHz", 26 GB available space,1384160,"₩ 88,000",Arc System Works,Arc System Works,Action,"11 Jun, 2021","['Fighting', '2D Fighter', 'Great Soundtrack', 'Anime', 'PvP', '2.5D', 'Arcade', 'Lore-Rich', 'Multiplayer', 'Action', '2D', 'Story Rich', '3D', 'Local Multiplayer', 'Fantasy', 'Combat', 'Cinematic', 'LGBTQ+', 'Drama', 'Casual']",Very Positive,39728,9,10,1
