,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
170,REMNANT II®, GeForce GTX 1650  / AMD Radeon RX 590, 16 GB RAM, Win 10, Intel Core i5-7600  / AMD Ryzen 5 2600, 80 GB available space,1282100,"₩ 26,900",Gunfire Games,Arc Games,Action,"25 Jul, 2023","['Souls-like', 'Action', 'Co-op', 'Adventure', 'RPG', 'Third-Person Shooter', 'Shooter', 'Dark', 'Action-Adventure', 'Post-apocalyptic', 'Multiplayer', 'Online Co-Op', 'Horror', 'Combat', 'Third Person', 'Atmospheric', 'PvE', 'Controller', 'Singleplayer', 'Gore']",Mostly Positive,38800,9,10,1
171,Dead by Daylight, DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB, 8 GB RAM, Windows 10 64-bit Operating System, Intel Core i3-4170 or AMD FX-8120, 50 GB available space,381210,"₩ 221,050",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,"14 Jun, 2016","['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']",Very Positive,547972,9,10,1
172,Apollo Justice: Ace Attorney Trilogy, NVIDIA® GeForce® GT 1030 (VRAM2GB)  or AMD Radeon™ RX550 (VRAM2GB), 8 GB RAM, WINDOWS® 10 (64-BIT Required), Intel® Core™ Core i3 8350k  or AMD Ryzen3 3200G, 20 GB available space,2187220,"₩ 54,800","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Adventure,"24 Jan, 2024","['Adventure', 'Visual Novel', 'Detective', 'Anime', 'Investigation', 'Mystery', 'Singleplayer', 'Crime', '3D', 'Story Rich', 'Choose Your Own Adventure', 'Text-Based', 'Great Soundtrack', 'Point & Click']",Very Positive,1817,9,10,1
173,theHunter: Call of the Wild™, NVIDIA GTX 660 / ATI HD7870 - 1GB VRAM, 4 GB RAM,1, Intel i3-4170, 60 GB available space,518790,"₩ 144,740",Expansive Worlds,Avalanche Studios,Adventure,"16 Feb, 2017","['Hunting', 'Open World', 'Multiplayer', 'Nature', 'Relaxing', 'Stealth', 'Sandbox', 'FPS', 'Simulation', 'Survival', 'Realistic', 'Online Co-Op', 'First-Person', 'Co-op', 'America', 'Walking Simulator', 'Immersive Sim', 'Shooter', 'Sports', 'Controller']",Very Positive,138217,9,10,1
174,GrandChase,1, 4 GB RAM," WINDOWS® 10, 11", Intel Core i3, 10 GB available space,985810,Free To Play,KOG,KOG,Action,"27 Jul, 2021","['Action', 'PvE', 'Free to Play', 'PvP', 'Action RPG', 'Online Co-Op', 'Casual', 'Hack and Slash', 'Character Customization', '2D Fighter', 'Multiplayer', 'Story Rich', 'Controller', 'Anime', ""Beat 'em up"", '2.5D', 'Fantasy', 'Cute', 'Massively Multiplayer', '3D Fighter']",Very Positive,23221,6,10,1
175,The Elder Scrolls V: Skyrim Special Edition, NVIDIA GTX 470 1GB /AMD HD 7870 2GB, 8 GB RAM,1, Intel i5-750/AMD Phenom II X4-945, 12 GB available space,489830,"₩ 16,690",Bethesda Game Studios,Bethesda Softworks,RPG,"27 Oct, 2016","['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy', 'Character Customization', 'Moddable', 'Dragons', 'Story Rich', 'Magic', 'First-Person', 'Action', 'Atmospheric', 'Great Soundtrack', 'Third Person', 'Stealth', 'Classic', 'Remake', 'Female Protagonist', 'Walking Simulator']",Overwhelmingly Positive,171515,9,10,1
176,Content Warning, NVIDIA GeForce GTX 1050 ti or AMD R9 380, 8 GB RAM, Win 10, Intel Core i5 @ 2.5 GHz or equivalent, 4 GB available space,2881650,"₩ 8,900",thePetHen,Landfall ,Action,"1 Apr, 2024","['Online Co-Op', 'Horror', 'Multiplayer', 'First-Person', 'Funny', 'Exploration', 'Psychological Horror', 'Co-op', 'Survival Horror', 'Atmospheric', 'Dungeon Crawler', '3D', 'Adventure', 'Supernatural', 'Time Management', 'Action-Adventure', 'Investigation', 'Sci-fi', 'Mystery', 'Procedural Generation']",Overwhelmingly Positive,39934,9,10,1
177,Homicipher,1,1,1,1,1,2302660,"₩ 15,500",八名木（yatsunagi）,Gamera Games,Adventure,"1 Nov, 2024","['Atmospheric', 'Horror', 'Female Protagonist', 'Otome', 'Visual Novel', 'Text-Based', 'Word Game', 'Choose Your Own Adventure', 'Conversation', 'Choices Matter', 'Multiple Endings', 'Interactive Fiction', 'First-Person', 'Singleplayer', 'Exploration', 'Thriller', 'Hand-drawn', 'Dark', 'Adventure', 'Typing']",Overwhelmingly Positive,2882,10,10,1
178,Cities: Skylines, Nvidia® GeForce™ GTS 450 (1 GB) |  AMD® R7 250 (2 GB)  |  Intel Iris Xe G7 (Tiger Lake), 8 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ I7 930  |  AMD® FX 6350, 4 GB available space,255710,"₩ 289,390",Colossal Order Ltd.,Paradox Interactive,Simulation,"10 Mar, 2015","['City Builder', 'Simulation', 'Building', 'Management', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Economy', 'Resource Management', 'Mod', 'Realistic', 'Replay Value', 'Casual', 'Modern', 'Real-Time with Pause', 'Family Friendly', 'Great Soundtrack', 'Funny', 'Action']",Very Positive,196083,9,10,1
179,Crime Scene Cleaner, GTX 1060, 16 GB RAM, Windows 10/11, i5-7500 or similar, 35 GB available space,1040200,"₩ 2,250",President Studio,President Studio,Action,"14 Aug, 2024","['Simulation', 'Crime', 'Gore', 'Singleplayer', 'First-Person', 'Mature', 'Action', 'Atmospheric', 'Adventure', 'Funny', 'Realistic', 'Exploration', 'Indie', 'Life Sim', 'Stealth', 'Walking Simulator', 'Heist', 'Hacking', 'Great Soundtrack', 'Violent']",Overwhelmingly Positive,11739,10,10,1
180,DRAGON QUEST III HD-2D Remake, AMD Radeon™ RX 460 / Intel® Arc™ A380 / NVIDIA® GeForce® GTX 750, 8 GB RAM, Windows® 10 / Windows® 11 64-bit, AMD Ryzen™ 3 1200 / Intel® Core™ i3-6100, 20 GB available space,2701660,"₩ 69,800",Square Enix,Square Enix,RPG,"14 Nov, 2024","['RPG', 'JRPG', 'Pixel Graphics', 'Turn-Based Combat', 'Singleplayer', 'Fantasy', 'Remake', '2.5D', 'Cute', 'Story Rich', 'Party-Based RPG', '1980s', 'Old School', 'Colorful', 'Combat', 'Turn-Based', 'Nostalgia', 'Lore-Rich', 'Emotional', 'Atmospheric']",N/A,1799,6,10,1
181,Luma Island, NVIDIA GTX 1060, 8 GB RAM, Windows 10, Intel i5, 7 GB available space,2408820,"₩ 20,500",Feel Free Games,Feel Free Games,Adventure,"20 Nov, 2024","['RPG', 'Co-op', 'Farming Sim', 'Adventure', 'Simulation', 'Mining', 'Fishing', 'Crafting', 'Agriculture', 'Exploration', 'Casual', 'Open World', 'Singleplayer', 'Online Co-Op', 'Multiplayer', 'Character Customization', 'Building', 'Cute', 'Farming', 'Fantasy']",Mostly Positive,2755,7,10,1
182,The Sims™ 4, 128 MB of Video RAM and support for Pixel Shader 3.0. Supported Video Cards, 4 GB RAM, 64 Bit Required. Windows 10," 3.3 GHz Intel Core i3-3220 (2 cores, 4 threads), AMD Ryzen 3 1200 3.1 GHz (4 cores) or better", 26 GB available space,1222670,Free To Play,Maxis,Electronic Arts,Adventure,"2 Sep, 2014","['Life Sim', 'Character Customization', 'Free to Play', 'Building', 'Multiplayer', 'Romance', 'Sandbox', 'Simulation', 'Singleplayer', 'Dating Sim', 'Relaxing', 'Casual', 'Realistic', 'Funny', 'Cute', 'Immersive Sim', 'Family Friendly', 'Fantasy', 'Adventure', 'Cartoony']",Very Positive,154510,9,10,1
183,No Man's Sky," Nvidia GTX 1060 3GB, AMD RX 470 4GB, Intel UHD graphics 630", 8 GB RAM, Windows 10/11 (64-bit versions), Intel Core i3, 15 GB available space,275850,"₩ 63,000",Hello Games,Hello Games,Action,"12 Aug, 2016","['Open World', 'Open World Survival Craft', 'Space', 'Exploration', 'Sci-fi', 'Survival', 'Procedural Generation', 'Adventure', 'First-Person', 'Sandbox', 'Multiplayer', 'Singleplayer', 'Atmospheric', 'Crafting', 'Space Sim', 'Indie', 'Action', 'Simulation', 'FPS', 'VR']",Very Positive,246319,9,10,1
184,ヘブンバーンズレッド, NVIDIA® GeForce® GTX 970 同等以上 / Intel® Core™ Ultra 7 155H搭載のIntel® Arc™ Graphics 同等以上, 8 GB RAM, Windows® 10 / 11 (64bit), Intel® Core™ i3 (第4世代以降), 30 GB available space,1973710,Free,"WFS, Inc.","WFS, Inc.",Adventure,"10 Aug, 2022","['Singleplayer', 'RPG', 'Free to Play', 'Visual Novel', 'Adventure', 'Story Rich', '3D', 'Emotional', 'Anime', 'Cute', '2D', 'Exploration', 'Sci-fi', 'Controller', 'Female Protagonist', 'Choices Matter', 'Comedy', 'Drama', 'Choose Your Own Adventure', 'Turn-Based Tactics']",Very Positive,4006,9,10,1
185,Half-Life: Alyx, GTX 1060 / RX 580 - 6GB VRAM, 12 GB RAM, Windows 10, Core i5-7500 / Ryzen 5 1600,1,546560,"₩ 3,460",Valve,Valve,Action,"23 Mar, 2020","['VR', 'FPS', 'Horror', 'Story Rich', 'Female Protagonist', 'Shooter', 'Singleplayer', 'First-Person', 'Action', 'Sci-fi', 'Atmospheric', 'Zombies', 'Beautiful', 'Aliens', 'Adventure', 'Futuristic', 'Psychological Horror', 'Memes', 'Great Soundtrack', 'Gore']",Overwhelmingly Positive,81182,10,10,1
186,Ready or Not, NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB, 8 GB RAM," Windows 10, Windows 11", Intel Core i5-4430 / AMD FX-6300, 60 GB available space,1144200,"₩ 14,540",VOID Interactive,VOID Interactive,Action,"13 Dec, 2023","['Tactical', 'Realistic', 'FPS', 'Shooter', 'Multiplayer', 'Co-op', 'Singleplayer', 'First-Person', 'Horror', 'Action', 'Violent', 'Gun Customization', 'Combat', 'Crime', 'Modern', 'Gore', 'Atmospheric', 'America', 'Co-op Campaign', 'Psychological Horror']",Very Positive,157100,9,10,1
187,Football Manager 2024," Intel GMA X4500, NVIDIA GeForce 9600M GT, AMD/ATI Mobility Radeon HD 3650 - requires 256MB VRAM and DirectX® 11", 4 GB RAM, Windows 10/11 with updates - 64 bit, Intel Core 2 or AMD Athlon 64 X2, 7 GB available space,2252570,"₩ 8,990",Sports Interactive,SEGA,Simulation,"6 Nov, 2023","['Simulation', 'Sports', 'Strategy', 'Management', 'Football (Soccer)', 'Multiplayer', 'Economy', 'eSports', 'Real Time Tactics', 'Singleplayer', '3D', 'Text-Based', '2D']",Very Positive,10544,9,10,1
188,Human Fall Flat, GeForce GT 740 (2048 MB) or equivalent | Radeon HD 5770 (1024 MB), 1024 MB RAM,1, Intel Core2 Duo E6750 (2 * 2660) or equivalent | AMD Athlon 64 X2 Dual Core 6000+ (2 * 3000) or equivalent, 500 MB available space,477160,"₩ 2,750",No Brakes Games,Curve Games,Adventure,"22 Jul, 2016","['Co-op', 'Funny', 'Puzzle', 'Adventure', 'Physics', 'Sandbox', 'Puzzle Platformer', 'Action', 'Open World', 'Multiplayer', 'Local Co-Op', 'Indie', 'Local Multiplayer', 'Comedy', 'Parkour', 'Casual', 'Split Screen', '3D Platformer', 'Singleplayer', 'Simulation']",Very Positive,158396,9,10,1
189,Snowbreak: Containment Zone, geforce gtx 650/radeon hd 7750, 8 GB RAM,1, i5-2320/amd a4-6320, 20 GB available space,2668080,Free To Play,Amazing Seasun Games,Amazing Seasun Games,Action,"24 Dec, 2023","['Anime', 'Third-Person Shooter', 'Shooter', 'RPG', 'Free to Play', 'Action', '3D', 'Hentai', 'JRPG', 'Singleplayer', 'Sci-fi', 'Nudity', 'Co-op', 'Cute', '3D Platformer', 'Online Co-Op', 'Sexual Content', 'Action RPG', 'Multiplayer', 'Story Rich']",Mostly Positive,6453,7,10,1
190,STAR WARS Jedi: Survivor™, 8GB VRAM |  GTX 1070  |  Radeon RX 580, 8 GB RAM, Windows 10 64-bit, 4 core / 8 threads  | Intel Core i7-7700  | Ryzen 5 1400, 155 GB available space,1774580,"₩ 22,000",Respawn,Electronic Arts,Action,"27 Apr, 2023","['Action', 'Adventure', 'Singleplayer', 'Souls-like', 'Third Person', 'Sci-fi', 'Open World', 'Action-Adventure', 'Story Rich', 'Space', 'Swordplay', 'Parkour', 'Exploration', 'Combat', 'Character Customization', 'RPG', 'Atmospheric', 'Great Soundtrack', 'Difficult', 'Multiplayer']",Mostly Positive,52951,6,10,1
191,Resident Evil 4, AMD Radeon RX 560 with 4GB VRAM / NVIDIA GeForce GTX 1050 Ti with 4GB VRAM, 8 GB RAM, Windows 10 (64 bit), AMD Ryzen 3 1200 / Intel Core i5-7500,1,2050650,"₩ 114,440","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"23 Mar, 2023","['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies', 'Singleplayer', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Gore', 'Resource Management', 'Adventure', 'Third Person', 'Psychological Horror', 'Action-Adventure', '3D', 'Violent']",Overwhelmingly Positive,98968,10,10,1
192,Dragon's Dogma 2, NVIDIA GeForce GTX 1070 / AMD Radeon RX 5500 XT with 8GB VRAM, 16 GB RAM, Windows 10 (64 bit)/Windows 11 (64 bit), Intel Core i5 10600 /  AMD Ryzen 5 3600,1,2054970,"₩ 75,920","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"21 Mar, 2024","['Open World', 'RPG', 'Action RPG', 'Action', 'Fantasy', 'Singleplayer', 'Adventure', 'Dragons', 'Action-Adventure', 'Magic', 'Medieval', 'Character Customization', 'Swordplay', 'Third Person', 'Physics', 'Artificial Intelligence', 'Lore-Rich', 'Multiplayer', '3D', 'PvE']",Mostly Positive,66252,6,10,1
193,ARK: Survival Ascended," AMD Radeon RX 5600 XT, NVIDIA GeForce 1080", 16 GB RAM, Windows 10/11 with updates," AMD Ryzen 5 2600X, Intel Core i7-6800K", 70 GB available space,2399830,"₩ 43,780",Studio Wildcard,Studio Wildcard,Action,"25 Oct, 2023","['Early Access', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Adventure', 'Building', 'Crafting', 'Base Building', 'Action', 'Sandbox', 'Character Customization', 'PvE', 'PvP', 'Singleplayer', 'Massively Multiplayer', 'Inventory Management', 'RPG', 'Sci-fi', 'Fantasy']",N/A,57527,6,10,1
194,Planet Zoo, NVIDIA GeForce GTX 770 (2GB) / AMD Radeon R9 270X (2GB), 8 GB RAM,1, Intel i5-2500 / AMD FX-6350, 16 GB available space,703080,"₩ 112,040",Frontier Developments,Frontier Developments,Casual,"5 Nov, 2019","['Management', 'Simulation', 'Building', 'Sandbox', 'Nature', 'City Builder', 'Economy', 'Realistic', 'Singleplayer', 'Family Friendly', 'Cute', 'Resource Management', 'Strategy', 'Great Soundtrack', 'Multiplayer', 'Relaxing', 'Open World', 'Casual', 'Funny', 'Horses']",Very Positive,69380,9,10,1
195,FINAL FANTASY VII REMAKE INTERGRADE, AMD Radeon™ RX 480 / NVIDIA® GeForce® GTX 780 / 3GB VRAM required, 8 GB RAM, Windows® 10 64-bit (ver. 2004 or later), AMD FX-8350 / Intel® Core™ i5-3330, 100 GB available space,1462040,"₩ 79,800",Square Enix,Square Enix,Action,"17 Jun, 2022","['RPG', 'Action RPG', 'JRPG', 'Singleplayer', 'Action-Adventure', 'Party-Based RPG', 'Spectacle fighter', 'Third Person', 'Action', 'Controller', 'Adventure', '3D', 'Fantasy', '3D Platformer', 'Magic', 'Story Rich', 'Realistic', 'Cinematic', 'Drama', 'Sci-fi']",Very Positive,25760,9,10,1
196,SILENT HILL 2, NVIDIA® GeForce® GTX 1070 Ti or AMD Radeon™ RX 5700 or Intel®  Arc™  A750, 16 GB RAM, Windows 10 x64, Intel Core i7-6700K | AMD Ryzen 5 3600, 50 GB available space,2124490,"₩ 87,700",Bloober Team SA,KONAMI,Action,"7 Oct, 2024","['Psychological Horror', 'Survival Horror', 'Horror', 'Atmospheric', 'Story Rich', 'Remake', 'Psychological', 'Great Soundtrack', 'Third Person', 'Singleplayer', 'Multiple Endings', 'Adventure', 'Action', 'Exploration', 'Cinematic', 'Violent', 'Sexual Content', '3D', 'Classic', 'Action-Adventure']",Overwhelmingly Positive,19740,10,10,1
